0.49058,0.42812,0.8219,0.41888,0.23734,2.1433
0.49058,0.42812,0.8219,0.41888,1.026,0.77968
0.49058,0.42812,0.8219,0.41888,1.026,2.1433
0.49058,0.42812,0.8219,0.41888,1.8147,0.77968
0.49058,0.42812,0.8219,0.41888,2.6034,0.77968
0.49058,0.42812,0.8219,1.4023,0.23734,0.77968
0.49058,0.42812,0.8219,1.4023,1.026,2.1433
0.49058,0.42812,0.8219,1.4023,2.6034,2.1433
0.49058,0.42812,2.2253,0.41888,1.026,2.1433
0.49058,0.42812,2.2253,0.41888,2.6034,2.1433
0.49058,0.42812,2.2253,1.4023,1.026,2.1433
0.49058,0.42812,2.2253,1.4023,2.6034,0.77968
0.49058,0.42812,2.2253,1.4023,2.6034,2.1433
0.49058,0.42812,2.2253,2.3858,0.23734,0.77968
0.49058,0.42812,2.2253,2.3858,0.23734,2.1433
0.49058,0.42812,2.2253,2.3858,1.8147,0.77968
0.49058,0.42812,2.2253,2.3858,1.8147,2.1433
0.49058,1.4225,0.8219,0.41888,1.8147,0.77968
0.49058,1.4225,0.8219,1.4023,1.026,0.77968
0.49058,1.4225,0.8219,1.4023,1.026,2.1433
0.49058,1.4225,0.8219,1.4023,1.8147,0.77968
0.49058,1.4225,0.8219,2.3858,0.23734,0.77968
0.49058,1.4225,0.8219,2.3858,0.23734,2.1433
0.49058,1.4225,0.8219,2.3858,1.026,0.77968
0.49058,1.4225,0.8219,2.3858,1.026,2.1433
0.49058,1.4225,0.8219,2.3858,1.8147,2.1433
0.49058,1.4225,0.8219,2.3858,2.6034,0.77968
0.49058,1.4225,2.2253,0.41888,1.8147,0.77968
0.49058,1.4225,2.2253,0.41888,2.6034,2.1433
0.49058,1.4225,2.2253,1.4023,0.23734,0.77968
0.49058,1.4225,2.2253,1.4023,1.026,0.77968
0.49058,1.4225,2.2253,1.4023,1.026,2.1433
0.49058,1.4225,2.2253,2.3858,0.23734,0.77968
0.49058,1.4225,2.2253,2.3858,1.026,0.77968
0.49058,1.4225,2.2253,2.3858,1.026,2.1433
