-0.8032,0.69003,-0.86975,-0.67588,5
0.96579,-0.72533,0.10912,-0.74548,11
-0.46077,0.35703,0.15203,-0.97747,7
0.47238,-0.6139,-0.20709,-0.1028,9
0.46962,-0.35742,-0.25583,-0.29518,9
-0.22515,0.56237,0.38825,0.70792,8
0.69449,0.0046577,0.054094,0.60689,16
-0.89043,-0.7893,0.399,-0.55555,3
0.66832,-0.21984,-0.86768,-0.90714,9
-0.66704,0.30912,0.33464,-0.55631,7
0.74419,0.7314,-0.056081,0.41796,14
0.50657,0.17521,-0.68898,-0.14321,13
0.46038,0.59886,-0.87836,-0.22206,13
0.50647,-0.81778,0.30245,-0.357,11
0.85563,-0.71054,-0.13227,0.056254,10
-0.25013,0.60751,-0.16152,-0.64059,5
0.87952,-0.70061,-0.95947,-0.39278,9
-0.17345,0.16728,0.67844,0.73128,8
0.3716,-0.46633,-0.16365,0.096677,10
0.019595,0.5908,0.66524,-0.75326,15
0.7613,0.49751,-0.54556,-0.73141,13
-0.30725,-0.77516,0.031937,-0.37396,3
-0.87984,0.092461,-0.2268,-0.82013,5
0.84918,0.63777,-0.92195,0.042478,14
-0.90785,-0.79114,0.62916,-0.41313,3
0.24991,-0.39114,-0.74588,0.86271,10
-0.71433,0.34336,0.13231,-0.70329,7
-0.23178,-0.67441,0.12088,-0.56601,3
0.066764,0.056905,0.14878,-0.37949,15
0.69115,-0.8217,0.74398,-0.96343,11
-0.75186,-0.34036,0.74732,0.098901,4
-0.85021,-0.37353,0.19397,0.15162,4
-0.76521,0.69645,0.48853,0.45802,8
0.74031,-0.78967,-0.4091,-0.97717,9
0.50029,0.30877,-0.574,0.047344,14
-0.85643,0.95225,0.9636,0.40266,8
-0.7835,0.41393,-0.90599,0.16261,6
0.91963,0.46591,0.77341,0.084476,16
0.20079,0.56647,-0.35089,-0.63678,13
0.85979,0.86099,-0.05833,0.74319,14
-0.4103,0.81477,-0.4113,-0.63605,5
-0.22025,0.75385,-0.31766,0.161,6
-0.21089,0.58255,0.90593,-0.0072215,7
-0.77641,-0.47535,0.40659,-0.70125,3
-0.4842,-0.98655,-0.020404,-0.25132,1
-0.58845,-0.31761,-0.54794,0.95038,2
-0.75217,0.10846,-0.68592,-0.91025,5
-0.82716,0.15449,-0.84387,-0.40411,5
-0.33997,-0.709,-0.58144,0.59629,2
0.99527,0.64881,0.81697,-0.36304,15
0.33698,-0.25296,0.43577,-0.97222,11
0.079599,0.76236,-0.43664,0.59936,14
0.15754,-0.656,0.40762,-0.64644,11
-0.13881,-0.70362,-0.070499,0.024453,2
0.89587,0.22664,0.43135,-0.034761,15
0.87427,0.70228,-0.60371,0.076741,14
0.62433,-0.72239,0.62925,0.68537,12
0.45791,-0.55326,-0.58083,-0.36759,9
-0.25252,-0.33231,0.96142,0.60652,4
0.26763,0.13075,0.83651,0.076893,16
-0.87654,-0.17161,0.59735,0.7411,4
0.38114,0.206,-0.74867,-0.60592,13
0.48142,-0.82146,-0.029827,0.5108,10
-0.070185,-0.96598,-0.18856,-0.76238,1
0.62054,-0.060816,-0.50935,0.86657,10
-0.4351,-0.052908,0.96668,-0.97139,3
0.75752,-0.41698,0.51844,0.74841,12
0.27524,0.70903,0.58567,-0.47258,15
0.17862,-0.19199,-0.88264,-0.41798,9
0.57153,-0.33368,0.50421,0.60058,12
-0.8758,0.7424,-0.68444,-0.085947,5
0.80402,-0.58163,0.31667,0.29864,12
0.19008,-0.79594,0.28406,0.63352,12
0.42441,-0.94351,0.45107,0.020597,12
-0.32602,0.80442,-0.56002,-0.73875,5
-0.72112,0.57145,-0.67162,0.5911,6
-0.7075,-0.45095,-0.77416,0.78191,2
-0.80988,0.17892,-0.80219,-0.74922,5
-0.82861,-0.11829,0.83243,-0.35817,3
0.8408,0.48766,-0.35418,-0.25177,13
