-0.85144,-0.30371,-0.71748,0.51593,-0.022976,0.49703,6
-0.58594,0.27477,0.062767,-0.35055,0.42107,-0.50438,27
-0.047267,-0.7546,-0.57303,0.38887,0.81655,0.029327,8
-0.97086,-0.98623,0.32841,0.0090228,-0.88919,0.85684,14
0.42665,-0.047478,-0.58656,0.38174,0.10754,0.033045,40
-0.92406,0.79607,-0.16823,0.46827,0.10644,0.39433,24
0.32102,-0.55162,0.26725,-0.9626,-0.48765,0.56789,42
-0.43899,-0.82303,-0.73168,-0.51155,-0.6872,0.76873,2
0.88022,-0.63309,-0.68547,-0.6938,-0.51681,-0.26853,33
0.050594,-0.88086,0.32157,0.44575,-0.47312,-0.8037,45
-0.0002819,-0.41491,0.27663,0.53662,-0.88368,0.28146,14
0.39209,-0.45875,-0.36452,-0.67334,-0.34322,0.67465,34
0.98763,-0.80285,0.0023841,-0.6444,0.64538,0.47783,44
-0.58774,0.51047,0.3448,-0.72063,-0.9289,-0.24113,25
0.39956,0.32572,0.82351,-0.70549,-0.19782,0.76563,58
-0.64846,0.060736,0.50331,-0.56429,0.87104,-0.69774,27
0.14914,-0.88224,0.86179,0.36054,0.80962,0.75885,48
-0.44796,-0.37807,-0.85369,0.42676,-0.23992,-0.62254,5
0.7376,0.93763,-0.17603,0.31792,0.31953,0.31042,56
0.73527,-0.078182,-0.70478,0.14394,-0.50556,-0.52183,37
0.9906,-0.55288,0.23154,0.3946,0.54232,-0.051922,47
-0.99214,0.28343,0.74435,-0.24774,0.11645,-0.67269,27
-0.97467,0.92491,0.63841,-0.71075,0.5703,-0.42426,27
0.62108,-0.28399,0.075338,0.65171,-0.2747,0.19776,46
-0.69575,0.77084,-0.35442,-0.19556,-0.40336,0.42209,18
0.22675,0.068178,0.48929,-0.35197,0.81842,0.16475,60
-0.46889,0.35718,0.0039468,0.66805,-0.020871,-0.54405,29
0.37209,0.12892,0.37881,-0.47006,-0.94191,-0.70507,57
0.3171,-0.18809,0.40223,0.97793,-0.62692,-0.30608,45
0.52193,-0.12211,0.84606,-0.81893,-0.14673,-0.88194,41
0.076081,-0.51378,-0.90367,-0.6188,0.40737,-0.71,35
-0.93698,-0.78699,0.12828,-0.66472,0.75836,0.17959,12
-0.85122,-0.80555,0.90629,0.015731,0.93037,0.25292,16
