0.31514,0.39374,4
0.81834,-0.19205,3
0.8039,-0.30037,3
-0.21829,-0.73406,1
0.22508,-0.96017,3
0.043671,-0.76066,3
0.63408,-0.11152,3
-0.88763,0.45957,2
0.25395,-0.89262,3
-0.14052,-0.55666,1
0.72186,-0.93787,3
0.37573,0.66665,4
-0.47795,-0.23625,1
-0.73152,-0.43084,1
0.082683,0.56734,4
0.9638,-0.44219,3
-0.30019,-0.43837,1
0.99082,0.87,4
0.03615,-0.67157,3
-0.61933,-0.92418,1
-0.93877,0.91209,2
-0.39395,-0.38773,1
-0.92984,-0.17185,1
0.1801,0.59358,4
0.40324,-0.28763,3
0.33998,-0.79028,3
-0.28758,0.5778,2
-0.77671,-0.74077,1
0.28264,-0.60392,3
-0.87361,-0.72059,1
0.28873,-0.55668,3
0.67058,-0.52931,3
-0.88568,0.45281,2
-0.28826,-0.80951,1
0.23744,0.33649,4
0.2772,0.82186,4
-0.60412,0.26,2
0.24673,-0.32623,3
0.11508,0.6789,4
0.77144,0.79713,4
0.39405,-0.013083,3
-0.27147,0.12697,2
-0.5493,0.16133,2
0.22182,-0.73449,3
-0.48887,-0.25388,1
-0.84837,0.62323,2
0.6454,0.039209,4
-0.5441,0.87917,2
-0.24089,0.23164,2
0.69297,0.55891,4
-0.7937,-0.50394,1
0.93878,0.11862,4
0.045647,0.62128,4
0.34667,-0.69458,3
0.46306,0.080318,4
0.96196,0.2206,4
0.10551,-0.62589,3
0.39945,0.27378,4
0.36537,-0.86485,3
0.26047,0.55908,4
0.59869,-0.34805,3
-0.30869,-0.034432,1
-0.036216,-0.23538,1
-0.84375,-0.34604,1
0.82021,0.97536,4
0.11845,0.758,4
0.049972,-0.39541,3
-0.4661,-0.67871,1
0.79999,0.058628,4
-0.97217,-0.72388,1
-0.806,0.29958,2
-0.87985,-0.53409,1
-0.51816,-0.80689,1
-0.0063016,-0.95601,1
-0.072952,0.71813,2
-0.45891,-0.71458,1
0.11022,-0.19414,3
-0.54533,-0.81287,1
-0.26861,-0.76421,1
-0.66007,-0.25037,1
0.32855,-0.66923,3
-0.83667,0.4379,2
-0.31342,-0.7483,1
0.062051,0.47767,4
0.09906,0.68277,4
-0.26469,-0.83464,1
