RF	RerF(rho=.0127)	RerF(rho=.0253)	RerF(rho=1)	RR-RF
0.009000000000	0.006000000000	0.006000000000	0.007000000000	0.012000000000
0.030000000000	0.043000000000	0.031000000000	0.041000000000	0.078000000000
0.019000000000	0.000000000000	0.002000000000	0.006000000000	0.011000000000
0.051000000000	0.005000000000	0.012000000000	0.012000000000	0.012000000000
0.040000000000	0.018000000000	0.013000000000	0.025000000000	0.049000000000
0.069000000000	0.083000000000	0.102000000000	0.197000000000	0.131000000000
0.062000000000	0.004000000000	0.009000000000	0.017000000000	0.013000000000
0.082000000000	0.031000000000	0.036000000000	0.065000000000	0.079000000000
0.063000000000	0.086000000000	0.071000000000	0.038000000000	0.054000000000
0.126000000000	0.069000000000	0.052000000000	0.009000000000	0.028000000000
0.033000000000	0.015000000000	0.014000000000	0.021000000000	0.038000000000
0.001000000000	0.001000000000	0.000000000000	0.002000000000	0.006000000000
0.007000000000	0.060000000000	0.059000000000	0.020000000000	0.040000000000
0.012000000000	0.011000000000	0.022000000000	0.010000000000	0.033000000000
0.011000000000	0.020000000000	0.021000000000	0.017000000000	0.037000000000
0.027000000000	0.022000000000	0.024000000000	0.026000000000	0.049000000000
0.004000000000	0.000000000000	0.003000000000	0.006000000000	0.013000000000
0.001000000000	0.000000000000	0.004000000000	0.005000000000	0.016000000000
0.011000000000	0.005000000000	0.007000000000	0.009000000000	0.011000000000
0.001000000000	0.015000000000	0.017000000000	0.037000000000	0.042000000000
0.004000000000	0.003000000000	0.009000000000	0.022000000000	0.050000000000
0.011000000000	0.032000000000	0.039000000000	0.030000000000	0.037000000000
0.013000000000	0.005000000000	0.003000000000	0.005000000000	0.010000000000
0.008000000000	0.013000000000	0.013000000000	0.013000000000	0.018000000000
0.000000000000	0.000000000000	0.000000000000	0.001000000000	0.001000000000
0.033000000000	0.062000000000	0.061000000000	0.039000000000	0.041000000000
0.029000000000	0.029000000000	0.020000000000	0.015000000000	0.041000000000
0.006000000000	0.001000000000	0.005000000000	0.013000000000	0.026000000000
0.052000000000	0.085000000000	0.065000000000	0.093000000000	0.137000000000
0.016000000000	0.014000000000	0.013000000000	0.019000000000	0.053000000000
0.201000000000	0.162000000000	0.134000000000	0.021000000000	0.043000000000
0.149000000000	0.113000000000	0.096000000000	0.007000000000	0.020000000000
